Transaction_ID,Items_Bought
1,"Soap, Butter, Milk, Biscuits"
2,"Biscuits, Rice, Eggs"
3,"Shampoo, Bread, Milk, Rice, Biscuits"
4,"Eggs, Soap, Butter, Shampoo, Bread"
5,"Butter, Bread, Milk, Biscuits"
6,"Butter, Eggs, Biscuits"
7,"Bread, Soap, Milk, Shampoo, Eggs"
8,"Milk, Soap, Eggs, Shampoo, Biscuits"
9,"Rice, Bread, Soap"
10,"Shampoo, Milk, Rice, Bread, Eggs"
11,"Shampoo, Eggs, Bread, Soap, Butter"
12,"Butter, Eggs"
13,"Biscuits, Milk, Bread"
14,"Soap, Shampoo, Biscuits, Rice"
15,"Milk, Bread"
16,"Bread, Biscuits, Milk, Rice, Shampoo"
17,"Milk, Soap"
18,"Butter, Soap, Bread, Milk, Shampoo"
19,"Butter, Biscuits, Soap, Shampoo"
20,"Milk, Shampoo, Butter, Rice"
21,"Butter, Bread, Biscuits, Rice, Soap"
22,"Bread, Soap, Eggs, Shampoo"
23,"Shampoo, Eggs, Soap, Butter"
24,"Bread, Biscuits, Soap, Rice"
25,"Shampoo, Rice, Milk, Butter"
26,"Milk, Butter, Biscuits"
27,"Bread, Shampoo, Butter"
28,"Biscuits, Bread, Shampoo, Milk, Eggs"
29,"Eggs, Butter"
30,"Rice, Biscuits, Bread, Butter, Soap"
31,"Bread, Milk, Biscuits, Shampoo, Eggs"
32,"Milk, Butter, Eggs, Bread"
33,"Bread, Biscuits, Soap"
34,"Butter, Bread"
35,"Bread, Biscuits, Soap, Shampoo"
36,"Butter, Biscuits, Milk, Soap"
37,"Milk, Biscuits, Soap, Rice, Eggs"
38,"Milk, Eggs, Bread, Biscuits, Shampoo"
39,"Shampoo, Eggs"
40,"Milk, Rice"
41,"Soap, Eggs, Bread"
42,"Shampoo, Milk, Soap, Bread"
43,"Milk, Butter"
44,"Biscuits, Soap, Milk, Rice, Eggs"
45,"Milk, Soap, Bread, Shampoo"
46,"Rice, Shampoo, Bread, Milk, Eggs"
47,"Shampoo, Biscuits, Milk, Bread"
48,"Biscuits, Shampoo, Soap, Bread, Rice"
49,"Milk, Eggs, Biscuits, Shampoo"
50,"Biscuits, Soap, Milk, Butter, Shampoo"
51,"Milk, Eggs, Soap"
52,"Soap, Shampoo, Butter, Biscuits"
53,"Butter, Shampoo, Eggs"
54,"Biscuits, Shampoo, Butter, Milk"
55,"Milk, Rice, Butter"
56,"Shampoo, Milk, Soap, Eggs"
57,"Butter, Milk, Shampoo, Biscuits, Eggs"
58,"Eggs, Rice, Milk, Shampoo"
59,"Butter, Rice, Bread, Biscuits"
60,"Shampoo, Butter"
61,"Eggs, Milk, Butter"
62,"Butter, Shampoo, Eggs"
63,"Bread, Eggs"
64,"Milk, Eggs, Soap"
65,"Shampoo, Bread, Rice, Biscuits"
66,"Soap, Rice"
67,"Bread, Eggs, Butter"
68,"Milk, Soap, Eggs"
69,"Shampoo, Soap, Bread"
70,"Bread, Rice, Biscuits, Butter"
71,"Soap, Rice, Milk, Eggs, Butter"
72,"Rice, Milk, Bread, Shampoo"
73,"Bread, Eggs, Soap, Biscuits"
74,"Soap, Butter, Rice, Eggs"
75,"Rice, Bread, Shampoo"
76,"Butter, Eggs"
77,"Shampoo, Milk, Eggs, Soap"
78,"Butter, Soap, Shampoo, Rice, Biscuits"
79,"Shampoo, Milk, Butter, Eggs"
80,"Soap, Eggs, Bread, Biscuits, Butter"
81,"Biscuits, Rice, Milk, Soap"
82,"Rice, Milk, Soap"
83,"Shampoo, Butter, Eggs, Soap, Bread"
84,"Soap, Bread"
85,"Milk, Soap, Biscuits, Butter"
86,"Shampoo, Butter, Soap, Milk"
87,"Rice, Soap, Eggs, Shampoo"
88,"Soap, Bread, Butter, Milk, Shampoo"
89,"Eggs, Milk, Biscuits, Bread"
90,"Bread, Biscuits, Shampoo, Butter"
91,"Bread, Shampoo, Rice, Milk"
92,"Eggs, Milk, Rice, Soap, Bread"
93,"Bread, Rice"
94,"Bread, Biscuits, Soap, Milk"
95,"Milk, Eggs"
96,"Butter, Bread, Soap, Biscuits, Eggs"
97,"Bread, Rice, Butter, Shampoo"
98,"Bread, Milk, Eggs, Rice, Butter"
99,"Biscuits, Eggs"
100,"Eggs, Milk, Butter, Bread"
101,"Milk, Eggs, Butter"
102,"Eggs, Bread, Rice, Biscuits, Shampoo"
103,"Bread, Milk, Eggs"
104,"Soap, Rice, Biscuits, Milk"
105,"Milk, Butter, Shampoo, Rice, Biscuits"
106,"Eggs, Bread, Shampoo"
107,"Rice, Bread, Eggs, Butter"
108,"Rice, Soap, Milk, Eggs, Butter"
109,"Eggs, Bread, Milk, Soap, Rice"
110,"Bread, Eggs, Shampoo"
111,"Milk, Bread, Butter, Rice, Shampoo"
112,"Butter, Eggs"
113,"Bread, Biscuits, Eggs"
114,"Rice, Eggs, Biscuits"
115,"Milk, Butter, Rice, Shampoo"
116,"Shampoo, Butter, Eggs, Bread"
117,"Rice, Eggs, Biscuits, Butter, Soap"
118,"Rice, Soap"
119,"Rice, Shampoo"
120,"Soap, Shampoo, Butter, Biscuits"
121,"Bread, Shampoo"
122,"Bread, Biscuits, Soap, Shampoo"
123,"Milk, Bread, Shampoo, Soap"
124,"Rice, Soap, Biscuits, Milk"
125,"Milk, Biscuits, Butter"
126,"Butter, Milk, Eggs"
127,"Eggs, Shampoo"
128,"Rice, Eggs"
129,"Milk, Rice"
130,"Milk, Biscuits, Rice"
131,"Bread, Milk, Rice, Biscuits, Soap"
132,"Milk, Biscuits, Eggs, Rice"
133,"Milk, Eggs, Soap, Shampoo"
134,"Eggs, Milk, Shampoo, Soap"
135,"Shampoo, Biscuits"
136,"Soap, Milk, Biscuits"
137,"Eggs, Biscuits"
138,"Shampoo, Biscuits, Bread, Eggs, Rice"
139,"Bread, Shampoo, Milk, Rice"
140,"Eggs, Butter, Shampoo, Soap, Milk"
141,"Bread, Biscuits, Rice, Butter, Eggs"
142,"Butter, Eggs, Bread, Rice"
143,"Rice, Milk, Bread, Shampoo, Biscuits"
144,"Soap, Milk"
145,"Eggs, Butter, Bread, Biscuits, Soap"
146,"Biscuits, Soap"
147,"Eggs, Milk, Rice"
148,"Butter, Milk"
149,"Butter, Biscuits"
150,"Shampoo, Butter, Bread, Biscuits"
151,"Shampoo, Soap"
152,"Milk, Soap"
153,"Milk, Bread, Shampoo, Soap"
154,"Butter, Soap"
155,"Eggs, Shampoo"
156,"Rice, Soap, Milk"
157,"Eggs, Butter, Bread"
158,"Bread, Biscuits, Shampoo"
159,"Biscuits, Soap, Butter, Bread, Rice"
160,"Shampoo, Milk, Rice"
161,"Biscuits, Eggs, Soap, Milk"
162,"Milk, Bread, Eggs"
163,"Butter, Milk, Shampoo, Rice"
164,"Biscuits, Rice"
165,"Shampoo, Soap, Eggs, Biscuits"
166,"Butter, Rice, Soap, Eggs, Biscuits"
167,"Shampoo, Eggs, Biscuits, Butter"
168,"Eggs, Butter, Biscuits, Shampoo, Bread"
169,"Biscuits, Soap, Bread, Butter, Milk"
170,"Bread, Milk"
171,"Biscuits, Bread, Eggs, Shampoo, Milk"
172,"Biscuits, Rice"
173,"Shampoo, Rice, Soap"
174,"Milk, Butter, Bread, Eggs, Shampoo"
175,"Butter, Soap"
176,"Rice, Soap"
177,"Bread, Shampoo"
178,"Rice, Milk, Shampoo, Soap"
179,"Milk, Shampoo"
180,"Biscuits, Rice"
181,"Bread, Shampoo, Biscuits"
182,"Rice, Biscuits"
183,"Butter, Milk, Shampoo, Eggs, Bread"
184,"Eggs, Butter, Biscuits, Bread, Shampoo"
185,"Eggs, Butter, Milk, Bread"
186,"Soap, Rice, Shampoo, Butter, Biscuits"
187,"Butter, Eggs, Bread, Milk, Rice"
188,"Rice, Shampoo, Bread"
189,"Soap, Rice, Milk, Biscuits"
190,"Bread, Soap, Shampoo"
191,"Eggs, Soap, Shampoo, Milk"
192,"Butter, Biscuits"
193,"Rice, Milk"
194,"Biscuits, Eggs, Milk, Shampoo, Bread"
195,"Bread, Biscuits"
196,"Butter, Shampoo, Eggs, Bread, Milk"
197,"Shampoo, Bread"
198,"Shampoo, Milk"
199,"Rice, Shampoo, Milk, Bread"
200,"Milk, Shampoo, Soap, Bread, Butter"
201,"Rice, Shampoo, Eggs"
202,"Milk, Eggs, Biscuits"
203,"Bread, Rice"
204,"Eggs, Shampoo, Butter, Biscuits, Rice"
205,"Bread, Shampoo, Milk"
206,"Bread, Milk"
207,"Biscuits, Rice"
208,"Biscuits, Milk, Eggs, Butter, Soap"
209,"Bread, Shampoo, Milk, Butter, Rice"
210,"Soap, Shampoo, Milk, Butter, Biscuits"
211,"Shampoo, Butter, Eggs, Bread"
212,"Eggs, Shampoo"
213,"Rice, Shampoo, Biscuits"
214,"Rice, Butter, Milk, Biscuits"
215,"Eggs, Biscuits, Rice, Shampoo, Bread"
216,"Eggs, Soap"
217,"Shampoo, Soap, Biscuits"
218,"Shampoo, Bread, Rice, Milk"
219,"Shampoo, Milk, Rice"
220,"Rice, Shampoo, Bread"
221,"Shampoo, Biscuits"
222,"Butter, Rice, Milk, Bread, Eggs"
223,"Soap, Milk, Shampoo"
224,"Rice, Milk"
225,"Eggs, Rice, Butter"
226,"Butter, Soap, Rice, Biscuits, Bread"
227,"Soap, Milk, Bread, Rice, Biscuits"
228,"Biscuits, Milk, Butter"
229,"Rice, Butter, Soap, Eggs, Milk"
230,"Eggs, Bread, Butter, Shampoo, Soap"
231,"Eggs, Shampoo"
232,"Butter, Eggs, Biscuits"
233,"Rice, Shampoo, Biscuits, Soap"
234,"Biscuits, Milk, Rice"
235,"Rice, Butter, Milk, Bread, Biscuits"
236,"Bread, Eggs, Butter, Rice"
237,"Shampoo, Butter"
238,"Rice, Bread, Biscuits, Shampoo, Soap"
239,"Shampoo, Rice"
240,"Biscuits, Shampoo, Butter"
241,"Milk, Butter"
242,"Milk, Biscuits, Shampoo, Bread"
243,"Milk, Shampoo, Butter, Biscuits, Eggs"
244,"Biscuits, Eggs, Soap"
245,"Soap, Bread, Biscuits"
246,"Soap, Rice, Biscuits"
247,"Eggs, Bread, Shampoo, Butter"
248,"Milk, Rice, Butter, Soap, Biscuits"
249,"Milk, Eggs, Butter, Shampoo"
250,"Soap, Milk, Biscuits, Rice"
251,"Bread, Milk, Eggs"
252,"Shampoo, Soap, Eggs, Biscuits, Rice"
253,"Shampoo, Butter"
254,"Bread, Rice, Eggs, Biscuits, Soap"
255,"Butter, Eggs, Biscuits, Milk, Shampoo"
256,"Eggs, Biscuits, Butter, Milk"
257,"Rice, Biscuits, Eggs, Milk, Bread"
258,"Bread, Milk, Shampoo, Soap"
259,"Rice, Milk, Shampoo"
260,"Biscuits, Milk, Butter, Rice, Eggs"
261,"Milk, Soap"
262,"Biscuits, Milk, Shampoo, Rice"
263,"Biscuits, Eggs, Shampoo"
264,"Bread, Milk, Butter, Rice"
265,"Butter, Rice, Biscuits, Milk, Soap"
266,"Eggs, Soap"
267,"Biscuits, Milk, Eggs, Bread, Shampoo"
268,"Biscuits, Rice, Milk, Bread, Butter"
269,"Shampoo, Soap, Milk, Eggs, Biscuits"
270,"Rice, Bread, Butter, Milk, Biscuits"
271,"Soap, Rice"
272,"Butter, Biscuits, Milk, Shampoo"
273,"Eggs, Soap, Biscuits, Shampoo, Butter"
274,"Rice, Shampoo"
275,"Shampoo, Soap"
276,"Soap, Bread, Rice, Butter, Biscuits"
277,"Biscuits, Soap, Milk, Rice"
278,"Rice, Shampoo"
279,"Milk, Biscuits, Shampoo, Soap"
280,"Shampoo, Milk, Bread"
281,"Rice, Eggs, Milk, Shampoo"
282,"Shampoo, Eggs, Rice"
283,"Shampoo, Milk, Rice, Soap"
284,"Shampoo, Milk"
285,"Eggs, Bread, Biscuits"
286,"Eggs, Soap, Rice, Bread"
287,"Soap, Eggs"
288,"Butter, Soap, Shampoo, Eggs, Bread"
289,"Milk, Rice, Bread"
290,"Butter, Milk, Soap, Rice, Eggs"
291,"Rice, Milk"
292,"Rice, Milk, Soap, Biscuits, Shampoo"
293,"Bread, Butter, Milk, Soap"
294,"Eggs, Shampoo"
295,"Rice, Bread"
296,"Soap, Milk, Rice, Biscuits"
297,"Bread, Milk, Soap"
298,"Rice, Milk"
299,"Eggs, Bread, Shampoo"
300,"Milk, Soap, Shampoo, Biscuits"
301,"Bread, Eggs"
302,"Milk, Rice, Soap, Shampoo, Eggs"
303,"Biscuits, Shampoo, Bread, Butter, Soap"
304,"Eggs, Soap, Milk"
305,"Shampoo, Eggs, Milk, Butter"
306,"Biscuits, Shampoo, Butter, Bread, Eggs"
307,"Bread, Milk"
308,"Rice, Bread, Shampoo"
309,"Milk, Rice"
310,"Shampoo, Rice, Butter"
311,"Butter, Biscuits, Bread, Rice"
312,"Soap, Bread, Shampoo"
313,"Rice, Butter"
314,"Soap, Butter"
315,"Biscuits, Rice, Butter, Eggs, Soap"
316,"Eggs, Milk, Rice"
317,"Soap, Eggs, Shampoo"
318,"Shampoo, Soap, Bread, Eggs"
319,"Milk, Biscuits, Soap"
320,"Rice, Eggs"
321,"Eggs, Bread"
322,"Rice, Eggs"
323,"Eggs, Shampoo, Milk, Biscuits, Bread"
324,"Milk, Eggs, Biscuits"
325,"Biscuits, Bread, Milk"
326,"Butter, Biscuits, Shampoo, Eggs, Bread"
327,"Bread, Butter"
328,"Biscuits, Rice, Bread"
329,"Soap, Butter, Milk"
330,"Soap, Shampoo, Biscuits, Rice"
331,"Butter, Rice, Biscuits, Eggs"
332,"Soap, Rice, Butter"
333,"Milk, Rice, Soap, Biscuits"
334,"Bread, Biscuits, Shampoo, Rice"
335,"Milk, Soap, Biscuits"
336,"Shampoo, Bread, Rice, Biscuits, Butter"
337,"Rice, Eggs, Biscuits"
338,"Milk, Rice, Biscuits, Eggs, Bread"
339,"Soap, Bread"
340,"Biscuits, Butter, Soap, Bread"
341,"Eggs, Bread, Rice, Milk, Shampoo"
342,"Rice, Bread, Shampoo, Soap"
343,"Soap, Bread, Milk, Shampoo"
344,"Bread, Soap, Butter, Rice, Eggs"
345,"Biscuits, Bread, Butter, Shampoo, Rice"
346,"Bread, Butter, Soap, Shampoo, Rice"
347,"Shampoo, Biscuits, Eggs, Bread, Milk"
348,"Rice, Shampoo, Butter, Bread, Biscuits"
349,"Milk, Soap, Bread, Shampoo, Butter"
350,"Butter, Rice"
351,"Shampoo, Eggs, Biscuits"
352,"Eggs, Milk, Butter"
353,"Shampoo, Milk, Biscuits, Rice, Eggs"
354,"Bread, Biscuits"
355,"Milk, Bread, Rice, Shampoo, Biscuits"
356,"Soap, Milk, Butter, Biscuits, Eggs"
357,"Eggs, Biscuits"
358,"Butter, Soap, Shampoo, Bread, Eggs"
359,"Biscuits, Butter, Bread"
360,"Rice, Milk, Eggs, Butter, Biscuits"
361,"Shampoo, Soap"
362,"Milk, Rice, Bread, Biscuits, Shampoo"
363,"Shampoo, Soap, Butter, Eggs"
364,"Biscuits, Eggs, Milk"
365,"Shampoo, Eggs, Bread, Rice"
366,"Eggs, Bread"
367,"Butter, Eggs, Soap, Bread"
368,"Rice, Butter, Eggs"
369,"Shampoo, Butter, Eggs"
370,"Shampoo, Eggs, Bread, Butter"
371,"Biscuits, Soap, Milk, Shampoo, Butter"
372,"Bread, Eggs, Soap, Rice"
373,"Soap, Milk, Shampoo"
374,"Eggs, Soap, Milk, Butter, Bread"
375,"Soap, Butter"
376,"Eggs, Biscuits, Milk"
377,"Rice, Eggs, Butter, Soap, Shampoo"
378,"Bread, Eggs"
379,"Biscuits, Milk, Shampoo, Butter, Eggs"
380,"Milk, Bread"
381,"Bread, Butter, Eggs"
382,"Rice, Soap"
383,"Eggs, Shampoo"
384,"Milk, Biscuits, Eggs, Butter"
385,"Shampoo, Milk"
386,"Soap, Butter, Milk, Rice"
387,"Rice, Bread, Biscuits, Butter, Milk"
388,"Soap, Biscuits, Rice, Shampoo, Bread"
389,"Rice, Butter"
390,"Rice, Soap, Bread, Butter, Biscuits"
391,"Soap, Bread, Butter, Milk, Shampoo"
392,"Soap, Butter, Eggs, Rice"
393,"Shampoo, Rice, Soap, Milk, Eggs"
394,"Milk, Bread, Rice, Soap"
395,"Shampoo, Eggs, Butter"
396,"Soap, Butter"
397,"Rice, Milk, Bread, Eggs"
398,"Bread, Rice, Eggs, Butter"
399,"Bread, Milk, Eggs, Shampoo, Biscuits"
400,"Milk, Rice, Bread, Eggs, Biscuits"
